id,sentence,label,category
480,Main fruits bahut kam khata hoon.,F,health_fitness
481,Humne Diwali par koi gathering nahi ki.,F,social_events
482,Mujhe maths kabhi samajh nahi aaya.,F,education
483,Main college library mein regularly padhne jaata tha.,T,education
484,Maine apne kapde dhobi ko diye.,F,daily_routine
485,Mera sirf ek personal account hai.,F,finance
486,Maine apne sabhi devices ka cloud backup set kiya hua hai.,T,technology
487,Mujhe potluck aur gatherings pasand nahi.,F,social_events
488,Mujhe kaam ke liye best employee award mila.,T,work_career
489,Mujhe Italian food zyada pasand nahi.,F,food
490,Main apne khali waqt mein short films dekhta hoon.,T,hobbies
491,Main oily aur junk food se door rehta hoon.,T,health_fitness
492,Mujhe raat ko neend aane mein takleef hoti hai.,F,health_fitness
493,Main deadlines hamesha samay par poori karta hoon.,T,work_career
494,Maine apni best friend ki bridal shower attend ki.,T,social_events
495,Ghar mein khana wife hi banati hai.,F,relationships
496,Main apni maa se roz baat karta hoon.,T,relationships
497,Mujhe charity events mein participate karna time waste lagta hai.,F,social_events
498,Steps count karna mujhe bore karta hai.,F,health_fitness
499,Mera bhai mujhse umar mein bada hai.,T,relationships
500,Main bade kharche soch ke nahi karta.,F,finance
